 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 2.11973e-02   2.07094e-02   2.18898e-02 | 6.37966e-02 | 1.43829e-01 | 4.56851e-01 | 2.22090e+00 | 1.16875e+01
  2 | 1.70905e-02 | 7.10138e-03   9.87164e-03   4.32428e-03 | 1.55403e-03 | 2.10719e-02 | 7.30542e-03 | 1.27835e+00 | 4.68773e-02
  3 | 3.26282e-02 | 3.91858e-03   1.35943e-02   5.12114e-03 | 2.26340e-02 | 1.09929e-02 | 3.71182e-03 | 1.63922e+00 | 1.81087e-01
  4 | 2.47823e-02 | 1.23461e-02   8.14523e-03   1.31599e-03 | 5.51684e-03 | 8.38842e-03 | 3.03953e-03 | 2.45150e+00 | 1.47771e-01
  5 | 2.32581e-02 | 4.78931e-03   3.33834e-03   6.66106e-03 | 5.21010e-03 | 7.19549e-03 | 2.77705e-03 | 9.84306e-01 | 1.33801e-01
  6 | 1.48544e-02 | 1.51225e-03   7.06518e-03   6.49909e-03 | 1.50765e-02 | 5.28523e-03 | 1.89899e-03 | 1.23714e+00 | 8.80177e-02
  7 | 1.28206e-02 | 9.47008e-03   2.70308e-03   3.10248e-03 | 3.66452e-03 | 4.25503e-03 | 1.59408e-03 | 1.77440e+00 | 8.08360e-02
  8 | 6.57788e-03 | 1.28053e-02   5.41610e-03   3.26496e-03 | 4.12422e-03 | 2.90946e-03 | 8.81308e-04 | 1.73606e+00 | 3.32070e-02
  9 | 7.44746e-03 | 1.00483e-02   2.22698e-03   2.89740e-03 | 4.92387e-03 | 3.00892e-03 | 9.14464e-04 | 1.44131e+00 | 4.75758e-02
 10 | 2.67033e-03 | 3.30757e-03   2.52272e-03   6.14594e-03 | 6.93078e-03 | 1.77015e-03 | 4.03231e-04 | 1.83661e+00 | 1.49160e-02
 11 | 4.42271e-03 | 2.93814e-03   8.73843e-03   2.68801e-03 | 8.48830e-03 | 1.99865e-03 | 5.08549e-04 | 2.15254e+00 | 2.24691e-02
 12 | 1.62801e-03 | 1.52503e-03   8.40101e-03   3.54498e-03 | 1.04210e-02 | 1.57646e-03 | 2.55546e-04 | 1.74556e+00 | 1.01834e-02
 13 | 2.94867e-03 | 5.70895e-03   2.55577e-03   8.32812e-04 | 3.98599e-03 | 1.62976e-03 | 3.44306e-04 | 1.22540e+00 | 1.35479e-02
 14 | 4.95991e-03 | 5.18608e-03   4.64020e-03   3.55863e-03 | 6.26766e-03 | 1.72939e-03 | 5.69501e-04 | 1.57898e+00 | 2.90337e-02
 15 | 0.00000e+00 | 4.41644e-03   6.33116e-04   6.38242e-03 | 1.01657e-02 | 1.37320e-03 | 9.15874e-05 | 1.11554e+00 | 4.67512e-03
 16 | 4.03327e-03 | 4.40092e-03   2.55953e-03   2.90704e-03 | 1.06564e-03 | 1.56702e-03 | 2.39964e-04 | 1.70162e+00 | 7.81434e-01
 17 | 1.51346e-03 | 2.16857e-03   3.64605e-03   1.02808e-03 | 2.50556e-03 | 1.87343e-03 | 4.26486e-04 | 1.15155e+00 | 1.41971e-02
