 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01901 |   -0.20939     -0.21982     -0.20860 |    0.66007      0.68396      0.65547 |           1.99950 | -18031.16656 | -18023.16650      0.00000      0.00000      1.99851
  1 |    0.01901 |   -0.18594     -0.18529     -0.18532 |    0.67595      0.70090      0.68154 |           2.05840 | -18019.47903 | -18023.16650      2.03637      2.40957      1.99851
  2 |    0.00192 |   -0.19185     -0.19306     -0.19230 |    0.69598      0.69184      0.67742 |           2.06524 | -18019.52591 | -18023.16650      2.19533      2.36003      1.99851
  3 |   -0.03070 |   -0.19309     -0.19375     -0.19342 |    0.68422      0.69198      0.67962 |           2.05583 | -18019.70700 | -18023.16650      2.18764      2.31683      1.99851
  4 |   -0.05549 |   -0.19392     -0.19409     -0.19357 |    0.68561      0.68670      0.66637 |           2.03867 | -18019.85477 | -18023.16650      2.16815      2.28557      1.99851
  5 |   -0.07874 |   -0.19375     -0.19345     -0.19336 |    0.67199      0.68277      0.67266 |           2.02742 | -18019.98857 | -18023.16650      2.14462      2.25527      1.99851
  6 |   -0.09360 |   -0.19262     -0.19309     -0.19248 |    0.67667      0.68374      0.66745 |           2.02786 | -18020.07659 | -18023.16650      2.13070      2.23856      1.99851
  7 |   -0.10642 |   -0.19272     -0.19302     -0.19173 |    0.67188      0.67022      0.66170 |           2.00380 | -18020.15742 | -18023.16650      2.11442      2.22237      1.99851
  8 |   -0.11300 |   -0.19254     -0.19275     -0.19240 |    0.67425      0.67476      0.65728 |           2.00629 | -18020.19063 | -18023.16650      2.11117      2.21359      1.99851
  9 |   -0.12044 |   -0.19272     -0.19272     -0.19222 |    0.66576      0.68128      0.66130 |           2.00833 | -18020.23821 | -18023.16650      2.09918      2.20871      1.99851
 10 |   -0.12311 |   -0.19189     -0.19247     -0.19237 |    0.67750      0.67487      0.66502 |           2.01740 | -18020.25312 | -18023.16650      2.09675      2.20146      1.99851
 11 |   -0.12754 |   -0.19250     -0.19286     -0.19179 |    0.67393      0.67463      0.65782 |           2.00638 | -18020.27559 | -18023.16650      2.09323      2.19949      1.99851
 12 |   -0.12917 |   -0.19224     -0.19323     -0.19198 |    0.66844      0.68030      0.65910 |           2.00784 | -18020.28577 | -18023.16650      2.09270      2.19696      1.99851
 13 |   -0.13211 |   -0.19251     -0.19264     -0.19195 |    0.66435      0.67133      0.66069 |           1.99637 | -18020.29932 | -18023.16650      2.09306      2.19196      1.99851
 14 |   -0.13707 |   -0.19209     -0.19260     -0.19164 |    0.67068      0.66850      0.65850 |           1.99768 | -18020.32836 | -18023.16650      2.08480      2.18802      1.99851
 15 |   -0.13707 |   -0.19207     -0.19367     -0.19204 |    0.66305      0.66600      0.65985 |           1.98890 | -18020.33303 | -18023.16650      2.07831      2.18770      1.99851
 16 |   -0.13304 |   -0.19208     -0.19283     -0.19216 |    0.66543      0.67633      0.66118 |           2.00294 | -18019.55160 | -18022.40181      2.08269      2.20303      2.01056
 17 |   -0.13153 |   -0.19240     -0.19247     -0.19175 |    0.67104      0.67917      0.66526 |           2.01547 | -18019.53740 | -18022.40181      2.08756      2.20390      2.01056
