 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 9.70281e-03   8.72490e-03   8.49094e-03 | 2.69186e-02 | 3.83719e-02 | 2.13286e-01 | 7.71901e-01 | 3.26740e+01
  2 | 3.06103e-02 | 2.78312e-03   2.75448e-03   9.85321e-03 | 1.53908e-02 | 1.09062e-02 | 1.31369e-03 | 8.49630e-02 | 4.66002e-01
  3 | 3.59591e-02 | 6.22040e-03   4.39143e-03   4.20825e-03 | 1.48201e-02 | 7.74932e-03 | 1.05748e-03 | 1.09157e-01 | 3.42695e-01
  4 | 2.49324e-02 | 3.73661e-03   3.97000e-03   2.86023e-03 | 1.05668e-02 | 5.34126e-03 | 7.52670e-04 | 1.52722e-01 | 1.96329e-01
  5 | 1.67195e-02 | 4.24258e-04   2.78660e-03   1.83056e-03 | 5.04141e-03 | 3.55814e-03 | 5.09043e-04 | 9.42720e-02 | 1.57746e-01
  6 | 1.20680e-02 | 3.49997e-03   4.86307e-04   3.57616e-03 | 7.56243e-03 | 2.59805e-03 | 3.66395e-04 | 1.12818e-01 | 1.07446e-01
  7 | 7.93882e-03 | 1.75702e-03   2.16843e-03   5.56713e-04 | 9.68119e-04 | 1.64854e-03 | 2.44226e-04 | 1.18708e-01 | 5.95769e-02
  8 | 5.80320e-03 | 2.48527e-03   1.21603e-03   3.14657e-04 | 1.58390e-03 | 1.27122e-03 | 1.76759e-04 | 8.44117e-02 | 6.78330e-02
  9 | 4.36585e-03 | 1.05259e-03   1.57012e-03   4.33250e-04 | 8.42866e-05 | 1.03384e-03 | 1.32883e-04 | 7.61766e-02 | 4.38112e-02
 10 | 2.68763e-03 | 3.36372e-03   1.37934e-03   2.89136e-03 | 7.63442e-03 | 6.39345e-04 | 8.44065e-05 | 1.57211e-01 | 1.82700e-03
 11 | 9.74477e-04 | 2.09882e-03   7.14688e-04   1.01864e-03 | 3.83215e-03 | 5.18709e-04 | 3.41925e-05 | 1.05699e-01 | 3.87446e-02
 12 | 1.36022e-03 | 2.24470e-03   9.74054e-04   1.24970e-03 | 1.96905e-03 | 4.90819e-04 | 3.97309e-05 | 1.19513e-01 | 2.25414e-03
 13 | 2.75655e-04 | 1.36708e-03   5.48441e-04   4.11724e-04 | 1.50380e-03 | 3.56662e-04 | 1.94513e-05 | 1.54133e-01 | 1.72175e-02
 14 | 4.78513e-04 | 1.07797e-03   1.47406e-03   1.22972e-03 | 8.33628e-04 | 3.98491e-04 | 1.92133e-05 | 2.01917e-01 | 1.78628e-02
 15 | 2.62462e-04 | 7.39580e-04   1.23975e-03   4.67663e-04 | 2.44699e-03 | 3.91969e-04 | 1.36500e-05 | 2.03698e-01 | 2.16473e-02
