 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.01241 |   -0.09430     -0.09471     -0.11625 |    0.95008      0.95033      0.97355 |           2.87395 | -39807.61329 | -39780.70016      0.00000      0.00000      6.73208
  1 |    0.01241 |   -0.09380     -0.09432     -0.11121 |    0.95978      0.95905      0.98204 |           2.90087 | -39774.93927 | -39780.70016      1.54979      7.79200      6.73208
  2 |   -0.01820 |   -0.09072     -0.09122     -0.10178 |    0.95700      0.95630      0.97219 |           2.88548 | -39775.40527 | -39780.70016      1.55866      7.66082      6.73208
  3 |   -0.05416 |   -0.08989     -0.09014     -0.10065 |    0.95078      0.95191      0.96798 |           2.87066 | -39775.74796 | -39780.70016      1.53943      7.59404      6.73208
  4 |   -0.07909 |   -0.08908     -0.08925     -0.09985 |    0.94704      0.94794      0.96512 |           2.86010 | -39775.94429 | -39780.70016      1.53238      7.54343      6.73208
  5 |   -0.09581 |   -0.08858     -0.08884     -0.09966 |    0.94662      0.94515      0.96329 |           2.85505 | -39776.10204 | -39780.70016      1.51940      7.50128      6.73208
  6 |   -0.10788 |   -0.08816     -0.08857     -0.09955 |    0.94312      0.94466      0.95971 |           2.84749 | -39776.20948 | -39780.70016      1.51678      7.48551      6.73208
  7 |   -0.11581 |   -0.08810     -0.08823     -0.09945 |    0.94487      0.94250      0.95915 |           2.84652 | -39776.26906 | -39780.70016      1.50877      7.46815      6.73208
  8 |   -0.12162 |   -0.08778     -0.08811     -0.09919 |    0.94239      0.94371      0.95884 |           2.84494 | -39776.33689 | -39780.70016      1.50399      7.44370      6.73208
  9 |   -0.12598 |   -0.08780     -0.08809     -0.09919 |    0.94344      0.94214      0.95927 |           2.84486 | -39776.38070 | -39780.70016      1.50434      7.43815      6.73208
 10 |   -0.12867 |   -0.08769     -0.08794     -0.09898 |    0.94008      0.94076      0.95638 |           2.83722 | -39776.37888 | -39780.70016      1.50865      7.43195      6.73208
 11 |   -0.12965 |   -0.08775     -0.08776     -0.09900 |    0.94218      0.94148      0.95740 |           2.84105 | -39776.41762 | -39780.70016      1.50600      7.42737      6.73208
 12 |   -0.13101 |   -0.08772     -0.08795     -0.09905 |    0.93993      0.94050      0.95865 |           2.83908 | -39776.41988 | -39780.70016      1.50901      7.42297      6.73208
 13 |   -0.13128 |   -0.08757     -0.08800     -0.09897 |    0.94130      0.94105      0.95824 |           2.84059 | -39776.43709 | -39780.70016      1.50815      7.42246      6.73208
 14 |   -0.13176 |   -0.08767     -0.08780     -0.09907 |    0.94022      0.94253      0.95701 |           2.83975 | -39776.41923 | -39780.70016      1.50710      7.42259      6.73208
 15 |   -0.13202 |   -0.08766     -0.08794     -0.09898 |    0.93948      0.94129      0.95654 |           2.83731 | -39776.44088 | -39780.70016      1.50327      7.42333      6.73208
