 it |          δμ |                               δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ |      δE_tot 
  1 | 0.00000e+00 | 1.22051e-02   1.03029e-02   8.49203e-03 | 3.10000e-02 | 4.08816e-02 | 2.13374e-01 | 7.31580e-01 | 3.26414e+01
  2 | 3.10133e-02 | 3.73283e-03   4.14846e-03   1.23666e-02 | 2.02479e-02 | 1.18141e-02 | 1.33288e-03 | 1.19787e-01 | 4.48428e-01
  3 | 3.64341e-02 | 5.36501e-03   3.78434e-03   4.50437e-03 | 1.36537e-02 | 8.33966e-03 | 1.07412e-03 | 1.96525e-01 | 3.19809e-01
  4 | 2.54103e-02 | 3.23528e-03   4.24940e-03   2.68140e-03 | 1.01661e-02 | 5.66212e-03 | 7.67156e-04 | 2.65784e-01 | 2.61301e-01
  5 | 1.76196e-02 | 2.11775e-03   1.41252e-03   2.94313e-03 | 6.47340e-03 | 3.89948e-03 | 5.32889e-04 | 2.40563e-01 | 1.51901e-01
  6 | 1.25481e-02 | 1.03709e-03   1.85048e-03   1.75812e-03 | 4.64569e-03 | 2.83575e-03 | 3.81018e-04 | 2.13583e-01 | 1.01863e-01
  7 | 8.38082e-03 | 6.24471e-04   1.69126e-03   1.29540e-03 | 3.61113e-03 | 1.85614e-03 | 2.59118e-04 | 7.90590e-02 | 7.56080e-02
  8 | 5.92043e-03 | 1.69880e-03   1.59602e-03   6.78696e-04 | 3.97351e-03 | 1.35371e-03 | 1.79805e-04 | 1.07999e-01 | 5.47477e-02
  9 | 4.15116e-03 | 4.79559e-04   2.75209e-03   1.51524e-03 | 7.57292e-04 | 1.01493e-03 | 1.27988e-04 | 4.96422e-01 | 3.84824e-02
 10 | 2.87907e-03 | 2.21429e-03   1.05413e-03   1.35894e-03 | 1.90948e-03 | 7.88661e-04 | 9.01213e-05 | 4.78292e-01 | 5.17592e-02
 11 | 2.03030e-03 | 1.36458e-03   9.65963e-04   1.23175e-03 | 1.63036e-03 | 5.84524e-04 | 6.36511e-05 | 7.83340e-02 | 8.19603e-03
 12 | 1.68433e-03 | 9.55732e-04   1.25968e-03   1.84788e-03 | 4.06329e-03 | 4.87390e-04 | 4.92415e-05 | 9.75800e-02 | 1.45638e-02
 13 | 8.62912e-04 | 3.73780e-04   5.17043e-05   1.71938e-04 | 1.50138e-04 | 3.29512e-04 | 2.98438e-05 | 9.03868e-02 | 1.07812e-02
 14 | 1.47719e-04 | 1.75225e-03   3.83582e-04   7.19412e-05 | 1.29672e-03 | 3.65286e-04 | 9.78816e-06 | 1.07049e-01 | 1.39103e-02
