 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ |      E_tot |      E_DFT   E_bandcorr    E_int_imp         E_DC
  0 |    0.00975 |   -0.09526     -0.10375     -0.11589 |    0.94313      0.95849      0.97535 |           2.87697 | -39807.52562 | -39780.55481      0.00000      0.00000      6.75000
  1 |    0.00975 |   -0.09690     -0.10226     -0.10970 |    0.95771      0.97145      0.98032 |           2.90948 | -39774.84708 | -39780.55481      1.58491      7.78135      6.75000
  2 |   -0.02176 |   -0.09692     -0.09864     -0.10343 |    0.95596      0.96460      0.96761 |           2.88818 | -39775.27472 | -39780.55481      1.61129      7.66847      6.75000
  3 |   -0.05906 |   -0.09549     -0.09727     -0.10185 |    0.95006      0.96130      0.96223 |           2.87359 | -39775.63698 | -39780.55481      1.59132      7.58238      6.75000
  4 |   -0.08551 |   -0.09448     -0.09641     -0.10126 |    0.94690      0.95637      0.96055 |           2.86382 | -39775.89349 | -39780.55481      1.56873      7.52548      6.75000
  5 |   -0.10425 |   -0.09372     -0.09590     -0.10090 |    0.94516      0.95362      0.95724 |           2.85601 | -39776.07533 | -39780.55481      1.55931      7.47656      6.75000
  6 |   -0.11715 |   -0.09325     -0.09567     -0.10076 |    0.94274      0.95323      0.95701 |           2.85298 | -39776.16338 | -39780.55481      1.54992      7.46762      6.75000
  7 |   -0.12653 |   -0.09269     -0.09531     -0.10042 |    0.94002      0.95107      0.95634 |           2.84743 | -39776.27929 | -39780.55481      1.54661      7.43702      6.75000
  8 |   -0.13289 |   -0.09255     -0.09515     -0.10034 |    0.93859      0.95055      0.95506 |           2.84420 | -39776.32779 | -39780.55481      1.54590      7.41657      6.75000
  9 |   -0.13716 |   -0.09227     -0.09504     -0.10017 |    0.93867      0.94843      0.95331 |           2.84042 | -39776.35689 | -39780.55481      1.53790      7.41440      6.75000
 10 |   -0.14051 |   -0.09209     -0.09477     -0.09995 |    0.93959      0.94972      0.95286 |           2.84217 | -39776.40701 | -39780.55481      1.53924      7.40422      6.75000
 11 |   -0.14238 |   -0.09187     -0.09480     -0.10000 |    0.93886      0.94936      0.95443 |           2.84265 | -39776.39895 | -39780.55481      1.53961      7.41050      6.75000
 12 |   -0.14407 |   -0.09184     -0.09472     -0.10005 |    0.93811      0.94913      0.95315 |           2.84039 | -39776.44435 | -39780.55481      1.53667      7.39006      6.75000
 13 |   -0.14517 |   -0.09199     -0.09489     -0.10009 |    0.93993      0.94979      0.95374 |           2.84346 | -39776.45089 | -39780.55481      1.53691      7.38930      6.75000
 14 |   -0.14631 |   -0.09202     -0.09482     -0.09984 |    0.93914      0.94753      0.95183 |           2.83850 | -39776.45224 | -39780.55481      1.53372      7.38291      6.75000
 15 |   -0.14652 |   -0.09168     -0.09472     -0.09989 |    0.93761      0.94775      0.95298 |           2.83834 | -39776.46105 | -39780.55481      1.53103      7.39273      6.75000
